Functional module	KEGG KO ID	Annotation	Reference
Bacterial chemotaxis	K03412	cheB; two-component system, chemotaxis family, response regulator CheB [EC:3.1.1.61]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K03406	mcp; methyl-accepting chemotaxis protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K03407	cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K10540	mglB; methyl-galactoside transport system substrate-binding protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K03415	cheV; two-component system, chemotaxis family, response regulator CheV	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K03408	cheW; purine-binding chemotaxis protein CheW	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Biofilm formation	K11931	pgaB; biofilm PGA synthesis lipoprotein PgaB [EC:3.-.-.-]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Biofilm formation	K11935	pgaA; biofilm PGA synthesis protein PgaA	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Biofilm formation	K11937	pgaD; biofilm PGA synthesis protein PgaD	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Biofilm formation	K11936	pgaC; biofilm PGA synthesis N-glycosyltransferase PgaC [EC:2.4.-.-]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Biofilm formation	K13654	mcbR; GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Biofilm formation	K12148	bssS; biofilm regulator BssS	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Biofilm formation	K13650	mcbA; MqsR-controlled colanic acid and biofilm protein A	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Photosynthesis)	K00855	phosphoribulokinase [EC:2.7.1.19]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K02446	fructose-1,6-bisphosphatase II [EC:3.1.3.11]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00927	phosphoglycerate kinase [EC:2.7.2.3]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01621	phosphoketolase [EC:4.1.2.9]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01623	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00814	alanine transaminase [EC:2.6.1.2]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01601	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00873	pyruvate kinase [EC:2.7.1.40]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K14455	aspartate aminotransferase, mitochondrial [EC:2.6.1.1]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K14454	aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00051	malate dehydrogenase (NADP+) [EC:1.1.1.82]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K05298	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01006	pyruvate,orthophosphate dikinase [EC:2.7.9.1]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01100	sedoheptulose-bisphosphatase [EC:3.1.3.37]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K14272	glutamate--glyoxylate aminotransferase [EC:2.6.1.- 2.6.1.44 2.6.1.2 2.6.1.4]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K11214	sedoheptulokinase [EC:2.7.1.14]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01610	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00615	transketolase [EC:2.2.1.1]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01632	fructose-6-phosphate phosphoketolase [EC:4.1.2.22]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00028	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K01602	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Photosynthesis)	K00026	malate dehydrogenase [EC:1.1.1.37]	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Carbon fixation (Prok)	K08691	malyl-CoA lyase [EC:4.1.3.24]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01681	aconitate hydratase 1 [EC:4.2.1.3]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01648	ATP citrate (pro-S)-lyase [EC:2.3.3.8]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15016	3-hydroxybutyryl-CoA dehydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35 4.2.1.55]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15017	succinyl-CoA reductase (NADPH) [EC:1.2.1.-]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K15019	3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00625	phosphate acetyltransferase [EC:2.3.1.8]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01958	pyruvate carboxylase [EC:6.4.1.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00170	pyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00175	2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K11942	methylmalonyl-CoA mutase [EC:5.4.99.2]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00031	isocitrate dehydrogenase [EC:1.1.1.42]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00190	carbon monoxide dehydrogenase / acetyl-CoA synthase subunit beta [EC:2.3.1.169 1.2.99.2 1.2.7.4]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00241	succinate dehydrogenase cytochrome b556 subunit	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01903	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01715	3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K14468	malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298 1.2.1.75]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01895	acetyl-CoA synthetase [EC:6.2.1.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K14469	acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:6.2.1.36 4.2.1.116 1.3.1.84]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:5.3.3.8 5.1.2.3 4.2.1.17 1.1.1.35]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K14138	carbon monoxide dehydrogenase / acetyl-CoA synthase subunit alpha [EC:2.3.1.169 1.2.99.2 1.2.7.4]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Carbon fixation (Prok)	K03737	putative pyruvate-flavodoxin oxidoreductase [EC:1.2.7.-]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
